date_num,date,best_ask_price,best_ask_size,best_bid_price,best_bid_size,ask_total_size,bid_total_size,ask_weighted_average_price,bid_weighted_average_price,best_mid_price,mid_weighted_average_price
1516577663.7,2018-01-21 23:34:23.700000,1225230,1000000,1225190,1000000,37200001,57900000,1226623.9246961311,1220336.701208981,1225210.0,1223480.3129525562
1516577664.9,2018-01-21 23:34:24.900000,1225220,500000,1225170,1000000,61700001,81400000,1226153.5656266846,1221664.189189189,1225195.0,1223908.8774079368
1516577664.9,2018-01-21 23:34:24.900000,1225220,500000,1225190,1000000,37700001,56400000,1226605.1723797037,1220208.0673758865,1225205.0,1223406.6198777952
1516577664.9,2018-01-21 23:34:24.900000,1225240,1000000,1225170,1000000,61200001,80400000,1226160.2941039167,1221620.6467661692,1225205.0,1223890.4704350429
1516577664.9,2018-01-21 23:34:24.900000,1225230,1000000,1225190,1000000,37200001,56400000,1226623.11824454,1220207.6241134752,1225210.0,1223415.3711790075
1516577664.9,2018-01-21 23:34:24.900000,1225220,1000000,1225170,1000000,61200001,81900000,1226159.6405091563,1221684.2490842491,1225195.0,1223921.9447967028
1516577664.9,2018-01-21 23:34:24.900000,1225240,1000000,1225170,1000000,61200001,81900000,1226159.9673065364,1221684.2490842491,1225205.0,1223922.1081953929
1516577664.9,2018-01-21 23:34:24.900000,1225260,500000,1225190,1000000,36200001,56900000,1226662.1546590566,1220251.4938488577,1225225.0,1223456.8242539573
1516577664.9,2018-01-21 23:34:24.900000,1225260,500000,1225170,1000000,36200001,56900000,1226662.1546590566,1220251.1423550087,1225215.0,1223456.6485070325
1516577664.9,2018-01-21 23:34:24.900000,1225230,1000000,1225160,500000,61700001,82400000,1226152.836291202,1221705.5218446602,1225195.0,1223929.1790679311
1516577664.9,2018-01-21 23:34:24.900000,1225230,1000000,1225170,1000000,37200001,56900000,1226623.655878934,1220251.1423550087,1225200.0,1223437.3991169715
1516577664.9,2018-01-21 23:34:24.900000,1225240,1000000,1225160,500000,61200001,82400000,1226160.2941039167,1221705.5218446602,1225200.0,1223932.9079742883
1516577664.9,2018-01-21 23:34:24.900000,1225250,1000000,1225160,500000,60200001,81400000,1226175.7474940906,1221663.3292383293,1225205.0,1223919.53836621
1516577666.3,2018-01-21 23:34:26.300000,1225250,1000000,1225180,1000000,61200001,83400000,1226161.1110973675,1221752.5779376498,1225215.0,1223956.8445175085
1516577666.3,2018-01-21 23:34:26.300000,1225240,1000000,1225190,1000000,37200001,56900000,1226624.4623305253,1220251.5817223198,1225215.0,1223438.0220264224
1516577666.3,2018-01-21 23:34:26.300000,1225230,1000000,1225190,1000000,37200001,56900000,1226624.1935133282,1220251.5817223198,1225210.0,1223437.8876178241
1516577666.9,2018-01-21 23:34:26.900000,1225250,1000000,1225170,1000000,61200001,84400000,1226161.0293980225,1221786.4928909952,1225210.0,1223973.7611445088
1516577666.9,2018-01-21 23:34:26.900000,1225230,1000000,1225170,1000000,37200001,56900000,1226624.0591047297,1220251.1423550087,1225200.0,1223437.6007298692
1516577667.4,2018-01-21 23:34:27.400000,1225240,1000000,1225170,1000000,60700001,83400000,1226167.874780101,1221746.5227817746,1225205.0,1223957.1987809378
1516577668.6,2018-01-21 23:34:28.600000,1225250,1000000,1225170,1000000,60200001,84400000,1226173.920251596,1221785.1895734598,1225210.0,1223979.554912528
1516577668.6,2018-01-21 23:34:28.600000,1225250,2000000,1225170,1000000,62200001,83400000,1226144.6141346525,1221744.8441247002,1225210.0,1223944.7291296762
1516577668.6,2018-01-21 23:34:28.600000,1225230,1000000,1225180,1000000,37200001,56900000,1226624.0591047297,1220251.3181019332,1225205.0,1223437.6886033313
1516577668.6,2018-01-21 23:34:28.600000,1225240,1000000,1225180,1000000,37200001,56900000,1226624.3279219267,1220251.3181019332,1225210.0,1223437.82301193
1516577668.6,2018-01-21 23:34:28.600000,1225240,1000000,1225190,1000000,37200001,56900000,1226624.3279219267,1220251.4938488577,1225215.0,1223437.9108853922
1516577670.5,2018-01-21 23:34:30.500000,1225250,2000000,1225180,1000000,62200001,83400000,1226144.6141346525,1221750.8393285372,1225215.0,1223947.726731595
1516577676.8,2018-01-21 23:34:36.800000,1225250,2000000,1225170,1000000,62200001,83400000,1226144.6141346525,1221744.9040767385,1225210.0,1223944.7591056954
